RTC_T=2021-01-31,17:09:59 &: NAME=bdd-10m E64=fcc23d00000014a1 RTC_T=2021-01-31,17:10:54 &: NAME=bdd-gnd E64=fcc23d0000000ea0 V_IN=3.76 #E_wv(V_A1) #E_wv(V_A2) P=869.20 T1=26.25 P0_LST60=0 P0_LST=0 [ADDR=252.194 SEQ=2 TTL=15 RSSI=33 LQI=255]
RTC_T=2021-01-31,17:09:59 &: NAME=bdd-10m E64=fcc23d00000014a1 RTC_T=2021-01-31,17:10:54 &: NAME=bdd-gnd E64=fcc23d0000000ea0 V_IN=3.76 #E_wv(V_A1) #E_wv(V_A2) P=869.20 T1=26.25 P0_LST60=0 P0_LST=0 [ADDR=252.194 SEQ=2 TTL=15 RSSI=33 LQI=255]
RTC_T=2021-01-31,17:10:59 TXT=bdd-2m  PS=1 V_IN=3.47  T_SH
RTC_T=2021-01-31,17:10:59 NAME=bdd-sink V_IN=3.88 T=0.00  V_MCU=3.08 REPS=10 UP_TIME=0.00
RTC_T=2021-01-31,17:10:59 TXT=bdd-2m  PS=1 V_IN=3.47  T_SHT2X=31.52 RH_SHT2X=33.74 [ADDR=73.93 SEQ=54 TTL=14 RSSI=33 LQI=255]
RTC_T=2021-01-31,17:10:59 &: NAME=bdd-10m E64=fcc23d00000014a1 V_IN=3.74 V_A1=0.19 V_A2=2.82 windSpeed=0.00 ADC_1=-0.010000 [ADDR=252.194 SEQ=115 TTL=15 RSSI=45 LQI=255]
RTC_T=2021-01-31,17:10:59 &: NAME=bdd-10m E64=fcc23d00000014a1 V_IN=3.74 V_A1=0.19 V_A2=2.82 windSpeed=0.00 ADC_1=-0.010000 [ADDR=252.194 SEQ=115 TTL=14 RSSI=38 LQI=255]
RTC_T=2021-01-31,17:11:53 &: NAME=bdd-10m E64=fcc23d00000014a1 Energy cosumption(mA)  CPU = 11.51 [ADDR=252.194 SEQ=119 TTL=15 RSSI=39 LQI=255]
RTC_T=2021-01-31,17:11:53 &: NAME=bdd-10m E64=fcc23d00000014a1 Energy cosumption(mA)  CPU = 11.51 [ADDR=252.194 SEQ=119 TTL=14 RSSI=32 LQI=255]
RTC_T=2021-01-31,17:11:55 &: NAME=bdd-gnd E64=fcc23d0000000ea0 V_IN=3.76 #E_wv(V_A1) #E_wv(V_A2) P=869.20
RTC_T=2021-01-31,17:11:59 TXT=bdd-2m  PS=1 V_IN=3.47  T_SHT2X=31.73 RH_SHT2X=31.23 [ADDR=73.93 SEQ=58 TTL=15 RSSI=32 LQI=255]
RTC_T=2021-01-31,17:11:59 TXT=bdd-2m  PS=1 V_IN=3.47  T_SHT2X=31.73 RH_SHT2X=31.23 [ADDR=73.93 SEQ=58 TTL=14 RSSI=38 LQI=255]
RTC_T=2021-01-31,17:12:00 &: NAME=bdd-10m E64=fcc23d00000014a1 V_IN=3.74 V_A1=2.66 V_A2=2.83 windSpeed=0.00 ADC_1=-0.010000 [ADDR=252.194 SEQ=120 TTL=15 RSSI=36 LQI=255]
RTC_T=2021-01-31,17:12:00 NAME=bdd-sink V_IN=3.88 T=0.00  V_MCU=3.08 REPS=20 UP_TIME=0.00
RTC_T=2021-01-31,17:12:00 &: NAME=bdd-10m E64=fcc23d00000014a1 V_IN=3.74 V_A1=2.66 V_A2=2.83 windSpeed=0.00 ADC_1=-0.010000 [ADDR=252.194 SEQ=120 TTL=14 RSSI=42 LQI=255]
RTC_T=2021-01-31,17:12:55 &: NAME=bdd-gnd E64=fcc23d0000000ea0 V_IN=3.76 #E_wv(V_A1) #E_wv(V_A2) P=869.20 T1=26.18 P0_LST60=0 P0_LST=0 [ADDR=252.194 SEQ=10 TTL=15 RSSI=54 LQI=255]
